ACCESSION	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION	TargetID	SYMBOL	
NM_024608	NaN	NaN	NaN	NaN	0.99	-0.02	0.91	-0.14	Homo sapiens nei endonuclease VIII-like 1 (E. coli) (NEIL1), mRNA.	ILMN_18060	NEIL1	
NM_003162	1.69	0.76	1.21	0.27	1.02	0.03	1.11	0.16	Homo sapiens striatin, calmodulin binding protein (STRN), mRNA.	ILMN_18061	STRN	
NM_002506	0.89	-0.16	0.57	-0.8	0.61	-0.7	0.49	-1.04	Homo sapiens nerve growth factor, beta polypeptide (NGFB), mRNA.	ILMN_18062	NGFB	
NM_000270	4.55	2.19	2.87	1.52	2.17	1.12	1.95	0.97	Homo sapiens nucleoside phosphorylase (NP), mRNA.	ILMN_18063	NP	
NM_000430	1.06	0.09	0.81	-0.3	0.84	-0.25	0.78	-0.36	Homo sapiens platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa (PAFAH1B1), mRNA.	ILMN_18064	PAFAH1B1	
NM_181708	0.83	-0.28	0.91	-0.14	0.85	-0.24	0.76	-0.39	Homo sapiens hypothetical protein LOC144233 (LOC144233), mRNA.	ILMN_18065	LOC144233	
NM_181696	1.09	0.13	1.07	0.09	1.16	0.21	1.17	0.23	Homo sapiens peroxiredoxin 1 (PRDX1), transcript variant 2, mRNA.	ILMN_18066	PRDX1	
NM_020232	1.06	0.08	1.1	0.14	0.92	-0.12	0.97	-0.04	Homo sapiens tumor necrosis factor superfamily, member 5-induced protein 1 (TNFSF5IP1), mRNA.	ILMN_18069	TNFSF5IP1	
NM_005693	0.3	-1.75	0.59	-0.76	1.12	0.16	0.76	-0.4	Homo sapiens nuclear receptor subfamily 1, group H, member 3 (NR1H3), mRNA.	ILMN_1807	NR1H3	
NM_007272	0.3	-1.73	0.96	-0.06	1.47	0.55	NaN	NaN	Homo sapiens chymotrypsin C (caldecrin) (CTRC), mRNA.	ILMN_18070	CTRC	
NM_001654	0.55	-0.86	0.81	-0.3	0.86	-0.22	0.87	-0.21	Homo sapiens v-raf murine sarcoma 3611 viral oncogene homolog (ARAF), mRNA.	ILMN_18073	ARAF	
NM_005763	NaN	NaN	0.51	-0.96	3.34	1.74	5.17	2.37	Homo sapiens aminoadipate-semialdehyde synthase (AASS), mRNA.	ILMN_18079	AASS	
NM_015080	NaN	NaN	0.47	-1.08	0.56	-0.83	0.22	-2.17	Homo sapiens neurexin 2 (NRXN2), transcript variant alpha-1, mRNA.	ILMN_18081	NRXN2	
NM_016027	0.38	-1.41	0.66	-0.59	NaN	NaN	NaN	NaN	Homo sapiens lactamase, beta 2 (LACTB2), mRNA.	ILMN_18082	LACTB2	
NM_016070	1.11	0.15	1.02	0.03	0.68	-0.55	0.72	-0.48	Homo sapiens mitochondrial ribosomal protein S23 (MRPS23), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_18089	MRPS23	
NM_000294	5.29	2.4	5.3	2.41	1.56	0.64	1.89	0.92	Homo sapiens phosphorylase kinase, gamma 2 (testis) (PHKG2), mRNA.	ILMN_1809	PHKG2	
NM_003909	0.56	-0.83	0.6	-0.74	0.88	-0.19	0.76	-0.39	Homo sapiens copine III (CPNE3), mRNA.	ILMN_18093	CPNE3	
NM_006854	0.94	-0.1	0.82	-0.29	0.59	-0.77	0.53	-0.93	Homo sapiens KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2 (KDELR2), mRNA.	ILMN_1810	KDELR2	
NM_194272	0.1	-3.37	0.11	-3.19	0.99	-0.01	0.85	-0.24	Homo sapiens RNA binding protein with multiple splicing 2 (RBPMS2), mRNA.	ILMN_18109	RBPMS2	
NM_001040	0.45	-1.15	0.89	-0.17	0.61	-0.71	0.29	-1.8	Homo sapiens sex hormone-binding globulin (SHBG), mRNA.	ILMN_18112	SHBG	
NM_017421	0.63	-0.66	0.83	-0.26	0.74	-0.43	0.76	-0.4	Homo sapiens coenzyme Q3 homolog, methyltransferase (yeast) (COQ3), mRNA.	ILMN_18113	COQ3	
NM_032299	1.16	0.21	1.1	0.14	0.91	-0.14	0.94	-0.09	Homo sapiens DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae) (DCUN1D5), mRNA.	ILMN_18117	DCUN1D5	
NM_024896	NaN	NaN	NaN	NaN	0.73	-0.46	0.86	-0.21	Homo sapiens KIAA1815 (KIAA1815), mRNA.	ILMN_18118	KIAA1815	
NM_015466	0.99	-0.02	0.86	-0.21	0.7	-0.52	0.68	-0.56	Homo sapiens protein tyrosine phosphatase, non-receptor type 23 (PTPN23), mRNA.	ILMN_1812	PTPN23	
NM_018181	NaN	NaN	NaN	NaN	1.54	0.62	1.56	0.64	Homo sapiens zinc finger protein 532 (ZNF532), mRNA.	ILMN_18125	ZNF532	
NM_012171	1.46	0.54	1.41	0.49	1.01	0.01	0.84	-0.25	Homo sapiens tetraspanin 17 (TSPAN17), transcript variant 1, mRNA.	ILMN_18131	TSPAN17	
NM_017946	1.4	0.49	0.87	-0.21	0.31	-1.67	0.41	-1.28	Homo sapiens FK506 binding protein 14, 22 kDa (FKBP14), mRNA.	ILMN_18132	FKBP14	
NM_001010980	1.26	0.34	1.14	0.19	1.1	0.14	1.09	0.13	Homo sapiens chromosome 1 open reading frame 130 (C1orf130), mRNA.	ILMN_18136	C1orf130	
NM_020131	0.69	-0.53	0.7	-0.51	0.92	-0.12	1.08	0.11	Homo sapiens ubiquilin 4 (UBQLN4), mRNA.	ILMN_18139	UBQLN4	
NM_018081	0.73	-0.45	0.75	-0.41	1.5	0.59	1.32	0.4	Homo sapiens WD repeat domain 79 (WDR79), mRNA.	ILMN_1814	WDR79	
NM_153226	0.22	-2.16	0.39	-1.37	0.69	-0.53	0.57	-0.82	Homo sapiens transmembrane protein 20 (TMEM20), mRNA.	ILMN_18140	TMEM20	
NM_007268	0.36	-1.46	0.85	-0.24	0.47	-1.1	0.2	-2.31	Homo sapiens V-set and immunoglobulin domain containing 4 (VSIG4), mRNA.	ILMN_18144	VSIG4	
NM_022763	1.31	0.39	1.13	0.17	0.6	-0.73	0.65	-0.62	Homo sapiens fibronectin type III domain containing 3B (FNDC3B), mRNA.	ILMN_18147	FNDC3B	
NM_001028	1.32	0.4	1.22	0.29	1.08	0.12	1.22	0.28	Homo sapiens ribosomal protein S25 (RPS25), mRNA.	ILMN_1815	RPS25	
NM_001917	NaN	NaN	0.69	-0.53	NaN	NaN	NaN	NaN	Homo sapiens D-amino-acid oxidase (DAO), mRNA.	ILMN_18156	DAO	
NM_000108	0.53	-0.92	0.57	-0.82	0.8	-0.32	0.76	-0.39	Homo sapiens dihydrolipoamide dehydrogenase (E3 component of pyruvate dehydrogenase complex, 2-oxo-glutarate complex, branched chain keto acid dehydrogenase complex) (DLD), mRNA.	ILMN_18159	DLD	
NM_014470	39.89	5.32	16.29	4.03	3.79	1.92	3.81	1.93	Homo sapiens Rho family GTPase 1 (RND1), mRNA.	ILMN_18161	RND1	
NM_006066	0.65	-0.63	1.02	0.03	0.52	-0.94	0.63	-0.67	Homo sapiens aldo-keto reductase family 1, member A1 (aldehyde reductase) (AKR1A1), transcript variant 1, mRNA.	ILMN_18164	AKR1A1	
NM_003487	1.1	0.14	0.98	-0.03	1	-0.01	0.78	-0.36	Homo sapiens TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa (TAF15), transcript variant 2, mRNA.	ILMN_18165	TAF15	
NM_032565	0.41	-1.3	0.61	-0.7	0.52	-0.94	0.35	-1.5	Homo sapiens emopamil binding protein-like (EBPL), mRNA.	ILMN_18169	EBPL	
NM_021983	0.65	-0.62	0.8	-0.33	0.99	-0.02	1.35	0.43	Homo sapiens major histocompatibility complex, class II, DR beta 4 (HLA-DRB4), mRNA.	ILMN_18172	HLA-DRB4	
NM_003876	1.17	0.23	1.21	0.28	1.36	0.44	1.22	0.28	Homo sapiens transmembrane protein 11 (TMEM11), mRNA.	ILMN_18178	TMEM11	
NM_017797	NaN	NaN	NaN	NaN	1.04	0.05	0.59	-0.75	Homo sapiens BTB (POZ) domain containing 2 (BTBD2), mRNA.	ILMN_18181	BTBD2	
NM_000858	0.77	-0.37	0.97	-0.04	0.98	-0.03	1.32	0.4	Homo sapiens guanylate kinase 1 (GUK1), mRNA.	ILMN_18191	GUK1	
NM_021805	NaN	NaN	NaN	NaN	0.86	-0.22	NaN	NaN	Homo sapiens single immunoglobulin and toll-interleukin 1 receptor (TIR) domain (SIGIRR), mRNA.	ILMN_18194	SIGIRR	
NM_015084	0.95	-0.07	1.11	0.16	1.04	0.05	1.06	0.09	Homo sapiens mitochondrial ribosomal protein S27 (MRPS27), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_18202	MRPS27	
NM_016033	0.76	-0.39	0.81	-0.31	0.93	-0.11	0.83	-0.26	Homo sapiens family with sequence similarity 82, member B (FAM82B), mRNA.	ILMN_18203	FAM82B	
NM_018477	0.72	-0.48	0.6	-0.74	0.99	-0.02	0.9	-0.15	Homo sapiens actin-related protein 10 homolog (S. cerevisiae) (ACTR10), mRNA.	ILMN_18205	ACTR10	
NM_005772	1.58	0.66	1.12	0.16	1.06	0.08	1.23	0.3	Homo sapiens RNA terminal phosphate cyclase-like 1 (RCL1), mRNA.	ILMN_18208	RCL1	
NM_013328	0.82	-0.28	0.71	-0.49	0.83	-0.27	0.65	-0.62	Homo sapiens pyrroline-5-carboxylate reductase family, member 2 (PYCR2), mRNA.	ILMN_18209	PYCR2	
NM_173470	1.1	0.13	1.07	0.1	1.25	0.32	1.28	0.36	Homo sapiens transmembrane protein 32 (TMEM32), mRNA.	ILMN_18227	TMEM32	
NM_000506	1.05	0.06	1.06	0.09	0.8	-0.32	0.77	-0.37	Homo sapiens coagulation factor II (thrombin) (F2), mRNA.	ILMN_18231	F2	
NM_198279	NaN	NaN	NaN	NaN	0.92	-0.11	0.78	-0.36	Homo sapiens chromosome X open reading frame 23 (CXorf23), mRNA.	ILMN_18232	CXorf23	
NM_015698	0.83	-0.26	0.8	-0.33	0.99	-0.01	1.11	0.15	Homo sapiens G patch domain and KOW motifs (GPKOW), mRNA.	ILMN_18236	GPKOW	
NM_001013641	NaN	NaN	0.39	-1.34	2.15	1.11	2.54	1.34	Homo sapiens similar to Hypothetical protein MGC37938 (LOC388595), mRNA.	ILMN_18250	LOC388595	
NM_005226	NaN	NaN	NaN	NaN	0.72	-0.48	NaN	NaN	Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 3 (EDG3), mRNA.	ILMN_18256	EDG3	
NM_003496	0.86	-0.21	0.72	-0.48	1.15	0.21	1.03	0.04	Homo sapiens transformation/transcription domain-associated protein (TRRAP), mRNA.	ILMN_18258	TRRAP	
NM_000603	2.21	1.15	NaN	NaN	4.42	2.14	4.72	2.24	Homo sapiens nitric oxide synthase 3 (endothelial cell) (NOS3), mRNA.	ILMN_18267	NOS3	
NM_015711	2	1	2.02	1.01	1.42	0.5	1.1	0.14	Homo sapiens glioma tumor suppressor candidate region gene 1 (GLTSCR1), mRNA.	ILMN_18273	GLTSCR1	
NM_005319	0.59	-0.76	0.74	-0.44	4.37	2.13	5.23	2.39	Homo sapiens histone 1, H1c (HIST1H1C), mRNA.	ILMN_18282	HIST1H1C	
NM_170662	2.23	1.16	1.7	0.77	1.43	0.51	1.72	0.78	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence b (CBLB), mRNA.	ILMN_18286	CBLB	
NM_012388	2.23	1.15	1.48	0.56	0.78	-0.35	0.88	-0.19	Homo sapiens pallidin homolog (mouse) (PLDN), mRNA.	ILMN_18292	PLDN	
NM_000127	1.54	0.62	1.42	0.51	0.8	-0.33	0.65	-0.63	Homo sapiens exostoses (multiple) 1 (EXT1), mRNA.	ILMN_18298	EXT1	
NM_000191	0.27	-1.91	0.49	-1.02	0.66	-0.6	0.6	-0.74	Homo sapiens 3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria) (HMGCL), mRNA.	ILMN_18301	HMGCL	
NM_015399	NaN	NaN	NaN	NaN	NaN	NaN	0.89	-0.16	Homo sapiens breast cancer metastasis suppressor 1 (BRMS1), transcript variant 1, mRNA.	ILMN_18305	BRMS1	
NM_007169	0.74	-0.44	0.68	-0.56	0.46	-1.13	0.4	-1.34	Homo sapiens phosphatidylethanolamine N-methyltransferase (PEMT), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	ILMN_18309	PEMT	
NM_012426	1.11	0.15	1.63	0.7	1.05	0.08	1.2	0.26	Homo sapiens splicing factor 3b, subunit 3, 130kDa (SF3B3), mRNA.	ILMN_18316	SF3B3	
NM_005583	NaN	NaN	NaN	NaN	1.46	0.55	1.96	0.97	Homo sapiens lymphoblastic leukemia derived sequence 1 (LYL1), mRNA.	ILMN_18317	LYL1	
NM_002072	2.09	1.06	1.2	0.27	0.77	-0.38	0.58	-0.8	Homo sapiens guanine nucleotide binding protein (G protein), q polypeptide (GNAQ), mRNA.	ILMN_18320	GNAQ	
NM_003818	0.79	-0.33	0.55	-0.86	1.85	0.89	1.87	0.9	Homo sapiens CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2 (CDS2), mRNA.	ILMN_18323	CDS2	
NM_016034	0.96	-0.07	0.92	-0.12	0.98	-0.03	0.97	-0.05	Homo sapiens mitochondrial ribosomal protein S2 (MRPS2), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_18328	MRPS2	
NM_032483	0.95	-0.07	0.9	-0.15	0.64	-0.64	0.79	-0.35	Homo sapiens phosphatidic acid phosphatase type 2 domain containing 1B (PPAPDC1B), mRNA.	ILMN_1833	PPAPDC1B	
NM_015288	1.13	0.18	1.06	0.08	1.2	0.27	1.35	0.44	Homo sapiens PHD finger protein 15 (PHF15), mRNA.	ILMN_18343	PHF15	
NM_198283	1.68	0.75	1.38	0.47	1.02	0.02	0.99	-0.01	Homo sapiens EGF-like-domain, multiple 11 (EGFL11), mRNA.	ILMN_18359	EGFL11	
NM_020188	0.51	-0.96	0.59	-0.75	1.29	0.37	1.39	0.48	Homo sapiens chromosome 16 open reading frame 61 (C16orf61), mRNA.	ILMN_1837	C16orf61	
NM_152903	NaN	NaN	NaN	NaN	0.75	-0.41	0.62	-0.7	Homo sapiens kelch repeat and BTB (POZ) domain containing 6 (KBTBD6), mRNA.	ILMN_18378	KBTBD6	
NM_024632	0.9	-0.14	0.94	-0.09	1.16	0.21	1.45	0.54	Homo sapiens NS4ATP2 (NS4ATP2), mRNA.	ILMN_18384	NS4ATP2	
NM_001032372	1.74	0.8	1.34	0.42	1.05	0.07	1.09	0.12	Homo sapiens zinc finger protein 226 (ZNF226), transcript variant 1, mRNA.	ILMN_18391	ZNF226	
NM_213619	0.84	-0.26	0.85	-0.23	1.2	0.27	1.04	0.05	Homo sapiens ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H (ATP6V1H), transcript variant 2, mRNA.	ILMN_18395	ATP6V1H	
NM_021960	3.3	1.72	2.33	1.22	0.97	-0.04	1.02	0.03	Homo sapiens myeloid cell leukemia sequence 1 (BCL2-related) (MCL1), transcript variant 1, mRNA.	ILMN_18397	MCL1	
NM_138636	NaN	NaN	NaN	NaN	0.71	-0.49	0.46	-1.12	Homo sapiens toll-like receptor 8 (TLR8), transcript variant 2, mRNA.	ILMN_18406	TLR8	
NM_152718	0.83	-0.27	1.24	0.31	2.62	1.39	2.25	1.17	Homo sapiens von Willebrand factor C and EGF domains (VWCE), mRNA.	ILMN_18416	VWCE	
NM_016186	0.82	-0.29	0.93	-0.1	0.93	-0.11	0.96	-0.06	Homo sapiens serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10 (SERPINA10), mRNA.	ILMN_18419	SERPINA10	
NM_006231	NaN	NaN	NaN	NaN	2.03	1.02	3.82	1.93	Homo sapiens polymerase (DNA directed), epsilon (POLE), mRNA.	ILMN_18431	POLE	
NM_005544	NaN	NaN	0.51	-0.96	0.66	-0.61	0.86	-0.22	Homo sapiens insulin receptor substrate 1 (IRS1), mRNA.	ILMN_18432	IRS1	
NM_006841	NaN	NaN	0.62	-0.68	1.03	0.04	1.14	0.19	Homo sapiens solute carrier family 38, member 3 (SLC38A3), mRNA.	ILMN_18436	SLC38A3	
NM_000488	0.89	-0.16	0.99	-0.02	0.33	-1.62	0.26	-1.97	Homo sapiens serpin peptidase inhibitor, clade C (antithrombin), member 1 (SERPINC1), mRNA.	ILMN_18442	SERPINC1	
NM_003819	1.31	0.39	1.45	0.53	1.1	0.14	1.21	0.28	Homo sapiens poly(A) binding protein, cytoplasmic 4 (inducible form) (PABPC4), mRNA.	ILMN_18446	PABPC4	
NM_016035	1.65	0.72	1.31	0.39	1.04	0.06	1.15	0.2	Homo sapiens coenzyme Q4 homolog (yeast) (COQ4), mRNA.	ILMN_18451	COQ4	
NM_024667	0.99	-0.01	1.07	0.1	0.96	-0.06	0.97	-0.04	Homo sapiens vacuolar protein sorting 37B (yeast) (VPS37B), mRNA.	ILMN_18457	VPS37B	
NM_017883	0.85	-0.24	0.74	-0.44	0.8	-0.33	0.69	-0.54	Homo sapiens WD repeat domain 13 (WDR13), mRNA.	ILMN_18458	WDR13	
NM_145266	0.51	-0.96	0.59	-0.76	0.76	-0.39	0.79	-0.34	Homo sapiens NudC domain containing 2 (NUDCD2), mRNA.	ILMN_18475	NUDCD2	
NM_024604	1.32	0.4	0.94	-0.09	1.04	0.06	0.98	-0.04	Homo sapiens hypothetical protein FLJ21908 (FLJ21908), mRNA.	ILMN_18478	FLJ21908	
NM_018959	0.99	-0.01	1.11	0.15	1.02	0.03	0.92	-0.11	Homo sapiens DAZ associated protein 1 (DAZAP1), transcript variant 2, mRNA.	ILMN_1850	DAZAP1	
NM_138444	3.89	1.96	3.15	1.66	1.35	0.43	2.03	1.02	Homo sapiens potassium channel tetramerisation domain containing 12 (KCTD12), mRNA.	ILMN_18501	KCTD12	
NM_006459	0.4	-1.33	0.43	-1.23	0.91	-0.14	0.82	-0.28	Homo sapiens SPFH domain family, member 1 (SPFH1), mRNA.	ILMN_18502	SPFH1	
NM_015104	0.68	-0.56	0.71	-0.49	1.49	0.57	1.33	0.41	Homo sapiens hypothetical protein LOC23130 (KIAA0404), mRNA.	ILMN_18505	KIAA0404	
NM_002004	0.65	-0.62	1.19	0.25	0.61	-0.7	0.86	-0.21	Homo sapiens farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase) (FDPS), mRNA.	ILMN_18516	FDPS	
NM_052817	1.79	0.84	0.94	-0.09	1.03	0.05	0.99	-0.02	Homo sapiens midline 2 (MID2), transcript variant 2, mRNA.	ILMN_18521	MID2	
NM_006761	0.62	-0.68	0.71	-0.5	1.09	0.13	0.93	-0.11	Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide (YWHAE), mRNA.	ILMN_18524	YWHAE	
NM_032574	0.31	-1.7	0.36	-1.48	0.86	-0.22	0.77	-0.38	Homo sapiens dpy-30-like protein (LOC84661), mRNA.	ILMN_18534	LOC84661	
NR_002196	0.54	-0.89	0.41	-1.29	1.38	0.47	0.85	-0.23	Homo sapiens H19, imprinted maternally expressed untranslated mRNA (H19) on chromosome 11.	ILMN_18538	H19	
NM_001024958	0.86	-0.22	0.69	-0.54	0.82	-0.29	0.89	-0.17	Homo sapiens breast cancer metastasis suppressor 1 (BRMS1), transcript variant 3, mRNA.	ILMN_18543	BRMS1	
NM_138278	NaN	NaN	0.61	-0.72	0.93	-0.1	1.74	0.8	Homo sapiens BCL2/adenovirus E1B 19kD interacting protein like (BNIPL), transcript variant 1, mRNA.	ILMN_18546	BNIPL	
NM_025133	1.02	0.02	0.85	-0.23	1.15	0.2	1.22	0.28	Homo sapiens F-box protein 11 (FBXO11), transcript variant 1, mRNA.	ILMN_18553	FBXO11	
NM_052968	0.04	-4.49	0.06	-4.13	2.87	1.52	3.04	1.6	Homo sapiens apolipoprotein A-V (APOA5), mRNA.	ILMN_18555	APOA5	
NM_013451	0.49	-1.04	1.38	0.46	1.15	0.2	1.15	0.21	Homo sapiens fer-1-like 3, myoferlin (C. elegans) (FER1L3), transcript variant 1, mRNA.	ILMN_18562	FER1L3	
NM_020706	1.17	0.22	1.23	0.3	0.87	-0.21	1	0	Homo sapiens splicing factor, arginine/serine-rich 15 (SFRS15), mRNA.	ILMN_18564	SFRS15	
NM_014966	1.19	0.25	1.24	0.31	1.04	0.06	1.1	0.13	Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 30 (DHX30), transcript variant 2, mRNA.	ILMN_18565	DHX30	
NM_024513	0.65	-0.62	0.71	-0.48	0.81	-0.31	0.78	-0.35	Homo sapiens FYVE and coiled-coil domain containing 1 (FYCO1), mRNA.	ILMN_18567	FYCO1	
NM_022566	5.2	2.38	3.97	1.99	2.8	1.49	4.98	2.32	Homo sapiens mesoderm development candidate 1 (MESDC1), mRNA.	ILMN_18570	MESDC1	
NM_018242	1.13	0.17	0.72	-0.46	0.71	-0.49	0.48	-1.05	Homo sapiens hypothetical protein FLJ10847 (FLJ10847), mRNA.	ILMN_18578	FLJ10847	
NM_006029	1.12	0.17	1.31	0.39	1.54	0.63	1.33	0.41	Homo sapiens paraneoplastic antigen MA1 (PNMA1), mRNA.	ILMN_18607	PNMA1	
NM_001013640	0.62	-0.7	0.87	-0.19	0.81	-0.3	1.32	0.4	Homo sapiens similar to Complement C3 precursor (LOC388503), mRNA.	ILMN_18613	LOC388503	
NM_031426	0.65	-0.63	0.61	-0.7	0.9	-0.16	0.66	-0.61	Homo sapiens chromosome 9 open reading frame 58 (C9orf58), transcript variant 1, mRNA.	ILMN_18617	C9orf58	
NM_181773	NaN	NaN	1.2	0.27	NaN	NaN	NaN	NaN	Homo sapiens ARP10 protein (ARP10), mRNA.	ILMN_18618	ARP10	
NM_152553	0.83	-0.27	0.79	-0.34	1.38	0.46	1.14	0.18	Homo sapiens IBR domain containing 1 (IBRDC1), mRNA.	ILMN_18623	IBRDC1	
NM_002525	0.93	-0.11	1.02	0.03	0.89	-0.17	1.02	0.03	Homo sapiens nardilysin (N-arginine dibasic convertase) (NRD1), mRNA.	ILMN_1863	NRD1	
NM_000310	0.38	-1.4	0.59	-0.77	0.7	-0.51	0.66	-0.6	Homo sapiens palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile) (PPT1), mRNA.	ILMN_18632	PPT1	
NM_019594	0.97	-0.05	0.84	-0.25	1.89	0.92	2.42	1.27	Homo sapiens leucine rich repeat containing 8 family, member A (LRRC8A), mRNA.	ILMN_18635	LRRC8A	
NM_012258	0.43	-1.2	0.39	-1.35	1.33	0.41	1.82	0.86	Homo sapiens hairy/enhancer-of-split related with YRPW motif 1 (HEY1), mRNA.	ILMN_18641	HEY1	
NM_001002017	0.42	-1.25	0.7	-0.52	0.81	-0.3	0.71	-0.49	Homo sapiens host cell factor C1 regulator 1 (XPO1 dependent) (HCFC1R1), transcript variant 2, mRNA.	ILMN_18642	HCFC1R1	
NM_022475	0.46	-1.12	0.3	-1.75	1.07	0.1	0.46	-1.12	Homo sapiens hedgehog interacting protein (HHIP), mRNA.	ILMN_18643	HHIP	
NM_014366	0.99	-0.01	1.17	0.23	0.69	-0.53	0.73	-0.45	Homo sapiens guanine nucleotide binding protein-like 3 (nucleolar) (GNL3), transcript variant 1, mRNA.	ILMN_18645	GNL3	
NM_002087	0.71	-0.49	0.92	-0.12	0.9	-0.14	1	0	Homo sapiens granulin (GRN), transcript variant 1, mRNA.	ILMN_18655	GRN	
NM_001456	NaN	NaN	NaN	NaN	1.23	0.3	1.36	0.44	Homo sapiens filamin A, alpha (actin binding protein 280) (FLNA), mRNA.	ILMN_18658	FLNA	
NM_153182	1.17	0.22	1.54	0.63	1	0	1.12	0.17	Homo sapiens MYC induced nuclear antigen (MINA), transcript variant 3, mRNA.	ILMN_18661	MINA	
NM_007111	0.9	-0.15	0.72	-0.48	1.03	0.04	1.25	0.32	Homo sapiens transcription factor Dp-1 (TFDP1), mRNA.	ILMN_18662	TFDP1	
NM_031280	0.85	-0.24	0.87	-0.2	0.78	-0.35	0.84	-0.25	Homo sapiens mitochondrial ribosomal protein S15 (MRPS15), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_18667	MRPS15	
NM_001643	0.77	-0.37	0.81	-0.31	0.81	-0.31	1.07	0.09	Homo sapiens apolipoprotein A-II (APOA2), mRNA.	ILMN_18670	APOA2	
NM_001343	1.11	0.15	1.04	0.06	1.94	0.95	1.59	0.67	Homo sapiens disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila) (DAB2), mRNA.	ILMN_18672	DAB2	
NM_002346	0.32	-1.62	0.64	-0.64	1.23	0.3	1.28	0.36	Homo sapiens lymphocyte antigen 6 complex, locus E (LY6E), mRNA.	ILMN_18673	LY6E	
NM_032478	0.45	-1.17	1.68	0.75	0.98	-0.02	0.65	-0.61	Homo sapiens mitochondrial ribosomal protein L38 (MRPL38), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_18679	MRPL38	
NM_006345	0.64	-0.65	NaN	NaN	NaN	NaN	1.67	0.74	Homo sapiens solute carrier family 30 (zinc transporter), member 9 (SLC30A9), mRNA.	ILMN_1868	SLC30A9	
NM_021727	2.95	1.56	1.6	0.68	1.9	0.93	1.67	0.74	Homo sapiens fatty acid desaturase 3 (FADS3), mRNA.	ILMN_18681	FADS3	
NM_025079	21.01	4.39	12.43	3.64	1.42	0.5	1.6	0.67	Homo sapiens zinc finger CCCH-type containing 12A (ZC3H12A), mRNA.	ILMN_18682	ZC3H12A	
NM_022374	1.3	0.38	1.08	0.1	1.25	0.32	1.34	0.42	Homo sapiens ADP-ribosylation factor-like 6 interacting protein 2 (ARL6IP2), mRNA.	ILMN_18684	ARL6IP2	
NM_002412	0.64	-0.65	0.85	-0.24	0.54	-0.89	0.5	-1.01	Homo sapiens O-6-methylguanine-DNA methyltransferase (MGMT), mRNA.	ILMN_18705	MGMT	
NM_030818	0.82	-0.28	0.77	-0.37	1.13	0.17	1.1	0.14	Homo sapiens hypothetical protein MGC10471 (MGC10471), mRNA.	ILMN_1871	MGC10471	
NM_014622	NaN	NaN	0.28	-1.84	0.74	-0.43	0.27	-1.87	Homo sapiens loss of heterozygosity, 11, chromosomal region 2, gene A (LOH11CR2A), transcript variant 1, mRNA.	ILMN_18718	LOH11CR2A	
NM_003161	1.1	0.14	1.07	0.1	0.73	-0.45	0.77	-0.37	Homo sapiens ribosomal protein S6 kinase, 70kDa, polypeptide 1 (RPS6KB1), mRNA.	ILMN_1872	RPS6KB1	
NM_031431	1.44	0.53	1.23	0.3	0.85	-0.24	0.78	-0.37	Homo sapiens component of oligomeric golgi complex 3 (COG3), mRNA.	ILMN_18720	COG3	
NM_133636	0.83	-0.26	0.68	-0.55	0.62	-0.7	0.67	-0.59	Homo sapiens DNA helicase HEL308 (HEL308), mRNA.	ILMN_18722	HEL308	
NM_030589	0.95	-0.07	0.68	-0.55	0.73	-0.46	0.89	-0.17	Homo sapiens cytochrome P450, family 2, subfamily A, polypeptide 7 (CYP2A7), transcript variant 2, mRNA.	ILMN_18727	CYP2A7	
NM_013402	1.5	0.59	1.6	0.68	0.85	-0.23	1.6	0.68	Homo sapiens fatty acid desaturase 1 (FADS1), mRNA.	ILMN_18738	FADS1	
